username,followers_count,verified
SomosOlimpia,43209,False
FerBenahavis,914,False
aleprietom,643,False
ArquitectosVzla,5121,False
Oremburgo,142,False
heraldodemadri1,7,False
elespectador,5964134,True
eskobar71,1,False
Grafu74,25,False
m_praszelik,2102,False
EnriqueTrokko,24,False
SamsungEspana,313036,True
justLiz__,159,False
treasuremembers,2854810,True
josuegonzalezl7,10,False
TopesdGama,495311,True
waltpulido,2103,False
sarayhoyos_,1757,False
soledadtarquini,10426,False
heidi_maca,2839,False
AJ23ThemeMaster,1940,False
Appache_es,22,False
V3LL1CH0R,1140,False
Giz_Tab,24580,False
laguiadelchollo,468,False
AmazingMurdock,523,False
Jimakos13,714,False
Theta_Network,239206,True
NuevoRumbo5,66,False
dropnwine,1634,False
sebasrubio,11260,False
rollingOhamster,38,False
heli_gd,425,False
Marinaheor,390,False
CarnedeBantha,133,False
MINBINLOUVER,704,False
chollos_espana,1114,False
Antoniosuper112,51,False
TabascoHOY,291468,False
BobaFettVCF,1985,False
dearquitectos,105046,False
mrdmartinmartin,324,False
Aerosday79,103,False
UnElastiquero,520,False
_lorenita123,8466,False
sdanielagonzal6,4,False
rodrigosepu,465974,True
cazandocholloss,2452,False
Susysappietro,1910,False
musimundo,416460,True
Jose2AR,47,False
Kyboth_,157,False
Tecnogusblog,675,False
Ardillacuatica,145,False
Maria07340,32,False
yoigo,91019,True
DoctorGo_,436,False
13Chris95,683,False
MarvelMateo,398,False
SrtaGraceGomez,1314,False
alxlocrito,405,False
javikust,823,False
GiancaMeDicen,165,False
berlingonzalezs,3452,False
OscarLMedia,305,False
muyinteresante,8374846,True
Escancio2,1145,False
GuilleMerediz,6234,False
computerhoy,246346,True
NmartinezLog,18,False
uesuruguay,512,False
discksheik,69,False
SirChandlerBlog,125868,True
jowifromdablock,3591,False
Negroviejo,1991,False
motoreco_ok,56422,False
mscampos60,1744,False
vientonortesa,3894,False
GeekActualizado,156,False
LaComparacion,110588,False
INGEGEEK,780,False
mipropiosoft,952,False
clipset,118301,True
el_naranja,89,False
EntelPeru,143447,True
aleprietom,643,False
CristoAtado,102403,False
Caralechuga75,1358,False
MxnnTae,72,False
negociosenredya,7807,False
amazon,4086508,True
http__scoop,636,False
naturefrogg,70,False
ikniutsin,46645,False
zynfoda,482,False
zyndior,131,False
soyamigaD,1683,False
NodosHosting,44,False
Agustin36097294,781,False
PlataformaMill1,6275,False
produccion_arg,258655,True
AIvzroo,239,False
rodri_ciro87,10,False
AgusOca2020,6280,False
amin66b,21,False
samsungmobilemx,420269,True
HPTXSoftware,362423,False
krazycec,418,False
dagucor,129,False
hijadeloco,889,False
Guerreirogalego,17,False
MLechet,3971,False
cabgdx,80,False
llaneshop,194,False
desdemimacbook,36,False
Lelitamendu,441,False
anitavmza,494,False
majogm,51655,False
GastroSevillano,164,False
SoyAladdin,883,False
jose_vocos,1145,False
plasticdrakeinc,853,False
WoonklyES,7600,False
Georgegimeno1,38,False
elgarganta,328,False
ZeRoMMX,1265,False
eresviral,63,False
INSUCOPY,851,False
gserranociv,2698,False
sexyflabia,3884,False
coaany,5678,False
p3n3_cilina,2251,False
rebajazos,1665,False
Ofertapremium,4311,False
Cholloterapia,44619,False
AyNathalya,153,False
leyreeestr,1556,False
_ppeereezzz,2331,False
JalCeuta,472,False
julian_alarcon_,627,False
nandokyy,143,False
andresf_salgado,118,False
SamsungCO,282570,True
ggukkie21,6,False
BTS_twt,43402524,True
la_cuevadeale,1419,False
AshlaHeartfilia,3709,False
humbermar,222,False
MIUI,1841,False
diana_aceves_,10118,False
Zurribulle,527,False
exeerunner,29,False
Pfrette1,62,False
Soumastre,65414,False
gesteffa,2438,False
android_esp,24640,False
Mar_UXer,155,False
_Florencianez,86,False
SomosOlimpia,43209,False
FerBenahavis,915,False
ArquitectosVzla,5121,False
Oremburgo,142,False
heraldodemadri1,7,False
elespectador,5964162,True
eskobar71,1,False
Grafu74,25,False
m_praszelik,2102,False
EnriqueTrokko,24,False
SamsungEspana,313036,True
justLiz__,159,False
treasuremembers,2854983,True
josuegonzalezl7,10,False
TopesdGama,495311,True
waltpulido,2103,False
sarayhoyos_,1757,False
soledadtarquini,10426,False
heidi_maca,2839,False
AJ23ThemeMaster,1940,False
Appache_es,22,False
V3LL1CH0R,1140,False
Giz_Tab,24580,False
laguiadelchollo,468,False
AmazingMurdock,523,False
Jimakos13,714,False
Theta_Network,239211,True
NuevoRumbo5,66,False
dropnwine,1634,False
sebasrubio,11261,False
rollingOhamster,38,False
heli_gd,425,False
Marinaheor,390,False
CarnedeBantha,133,False
MINBINLOUVER,704,False
chollos_espana,1114,False
Antoniosuper112,51,False
TabascoHOY,291468,False
BobaFettVCF,1985,False
dearquitectos,105046,False
mrdmartinmartin,324,False
Aerosday79,103,False
UnElastiquero,520,False
_lorenita123,8466,False
sdanielagonzal6,4,False
rodrigosepu,465987,True
negociosenredya,7807,False
amazon,4086526,True
jisampedro,2148,False
julencin2000,65,False
LuciaMunizMD,710,False
ASiames,623,False
lsblasco,1130,False
dearquitectos,105047,False
andimonarca,3483,False
GustavoEDLP,938,False
Sergio_awero,2799,False
NewHomePC,59787,False
reg_mati,4372,False
sebajmartin,50,False
CalmateElvira,13039,False
PennyHofstadte6,1605,False
SarroyoSi,11648,False
Eduharkonnen,854,False
AshlaHeartfilia,3709,False
luchodrosario,1770,False
Lunopolis,2657,False
Ziberiano1,41,False
vientonortesa,3894,False
galmassio,20121,False
koojeoon,143,False
LSimoyo,354,False
GuilleMerediz,6235,False
PersonaTalante,8516,False
muyinteresante,8374852,True
chollosoutlet,6783,False
Escancio2,1145,False
computerhoy,246346,True
NmartinezLog,18,False
uesuruguay,512,False
discksheik,69,False
SirChandlerBlog,125871,True
jowifromdablock,3591,False
Negroviejo,1991,False
motoreco_ok,56422,False
mscampos60,1744,False
GeekActualizado,156,False
LaComparacion,110588,False
INGEGEEK,780,False
mipropiosoft,952,False
clipset,118303,True
el_naranja,89,False
EntelPeru,143447,True
aleprietom,643,False
CristoAtado,102402,False
Caralechuga75,1358,False
MxnnTae,75,False
http__scoop,636,False
naturefrogg,79,False
ikniutsin,46646,False
zynfoda,481,False
zyndior,131,False
soyamigaD,1683,False
NodosHosting,44,False
Agustin36097294,781,False
PlataformaMill1,6275,False
produccion_arg,258656,True
AIvzroo,239,False
rodri_ciro87,10,False
AgusOca2020,6280,False
amin66b,21,False
samsungmobilemx,420273,True
HPTXSoftware,362423,False
krazycec,418,False
dagucor,129,False
hijadeloco,889,False
